경도,위도,주소
128.4580139,35.86151275,대구광역시 달성군 다사읍 달구벌대로 790
128.4610164,35.86011044,대구광역시 달성군 다사읍 달구벌대로 812
128.4615908,35.85928776,대구광역시 달성군 다사읍 달구벌대로 842-7
128.4594849,35.86272039,대구광역시 달성군 다사읍 달구벌대로 805
128.462307,35.86253436,대구광역시 달성군 다사읍 달구벌대로 839
128.4959139,35.86944265,대구광역시 달성군 다사읍 서재로 59
128.4642505,35.85783402,대구광역시 달성군 다사읍 달구벌대로 874
128.4668341,35.85694323,대구광역시 달성군 다사읍 달구벌대로 895
128.4587673,35.86509952,대구광역시 달성군 다사읍 다사로 59-5
128.4934519,35.86820652,대구광역시 달성군 다사읍 서재로 35
128.4965285,35.87661288,대구광역시 달성군 다사읍 서재로 145
128.4814696,35.87434663,대구광역시 달성군 다사읍 세천로 182-9
128.4657437,35.69437436,대구광역시 달성군 유가읍 테크노대로5길 57
128.4535885,35.69097306,대구광역시 달성군 현풍읍 테크노상업로 20
128.4554345,35.69296683,대구광역시 달성군 현풍읍 테크노상업로 50
128.6232318,35.8043413,대구광역시 달성군 가창면 가창로 1124
128.6226685,35.80471621,대구광역시 달성군 가창면 가창로 1121
128.6230237,35.80243192,대구광역시 달성군 가창면 가창로 1100
128.6348838,35.78952043,대구광역시 달성군 가창면 가창로176길 27
128.626243,35.79646262,대구광역시 달성군 가창면 가창로 1025
128.6272702,35.79662213,대구광역시 달성군 가창면 가창로 1008
128.638734,35.78718716,대구광역시 달성군 가창면 냉천리 38-4
128.6482451,35.76873977,대구광역시 달성군 가창면 가창로123길 2
128.4000508,35.87922847,대구광역시 달성군 하빈면 하목정2길 3
128.4077435,35.88257454,대구광역시 달성군 하빈면 하산리 672
128.4175493,35.87789409,대구광역시 달성군 하빈면 동곡리 124-1
128.4082304,35.86089074,대구광역시 달성군 하빈면 하빈남로 249
128.4206011,35.9053584,대구광역시 달성군 하빈면 묘리 715
128.421739,35.88655054,대구광역시 달성군 하빈면 감문리 813-2
128.4708954,35.79044151,대구광역시 달성군 옥포읍 비슬로 2283
128.4634038,35.7893939,대구광역시 달성군 옥포읍 비슬로 2215
128.4939119,35.75560529,대구광역시 달성군 옥포읍 반송리 170-1
128.46484,35.78737636,대구광역시 달성군 옥포읍 비슬로 2220
128.4316844,35.77921591,대구광역시 달성군 옥포읍 비슬로 1900-1
128.5210469,35.74830981,대구광역시 달성군 옥포읍 용연사길 260
128.4451381,35.78280744,대구광역시 달성군 옥포읍 돌미로5길 15
128.4396653,35.77940283,대구광역시 달성군 옥포읍 돌미로 49
128.4376229,35.6494263,대구광역시 달성군 구지면 구지동로10길 3
128.4134581,35.6590203,대구광역시 달성군 구지면 창리로11길 38
128.4132541,35.65930369,대구광역시 달성군 구지면 창리로11길 51
128.4025756,35.62980428,대구광역시 달성군 구지면 대암리 180
128.416867,35.65498566,대구광역시 달성군 구지면 과학마을로2길 5-22
128.4181789,35.65486855,대구광역시 달성군 구지면 과학마을로4길 49
128.4111652,35.65247341,대구광역시 달성군 국가산단대로 구지면 응암리 1232
127.4187771,36.36615933,대전광역시 대덕구 대화동 16-135
127.4156539,36.36771422,대전광역시 대덕구 대화동 37-9
127.4013556,36.36826948,대전광역시 대덕구 대화동 530-4
127.411719,36.36728652,대전광역시 대덕구 대화동 40-47
127.4197602,36.36863849,대전광역시 대덕구 대화동 4-1
127.4203109,36.36804889,대전광역시 대덕구 대화동 561-10
127.411858,36.36718232,대전광역시 대덕구 대화동 40-81
127.4231144,36.40119219,대전광역시 대덕구 신탄진로 232
127.4148433,36.35462959,대전광역시 대덕구 오정동 275-8
127.4118483,36.3519692,대전광역시 대덕구 오정동 243-5
127.4177697,36.36235388,대전광역시 대덕구 오정동 10-106
127.4222094,36.35149332,대전광역시 대덕구 오정동 172-1
127.4223048,36.35120797,대전광역시 대덕구 오정동 172-7
127.4243762,36.35107344,대전광역시 대덕구 오정동 175-48
127.4195762,36.35048571,대전광역시 대덕구 오정동 236-1
127.4161176,36.3488852,대전광역시 대덕구 오정동 448-10
127.4166954,36.34905077,대전광역시 대덕구 오정동 448-11
127.4151172,36.35642412,대전광역시 대덕구 오정동 708
127.407708,36.35482193,대전광역시 대덕구 오정동 715
127.4111293,36.35206622,대전광역시 대덕구 오정동 726
127.413315,36.34997653,대전광역시 대덕구 오정동 370-10
127.4145118,36.34965957,대전광역시 대덕구 오정동 387-4
127.4161357,36.34846111,대전광역시 대덕구 오정동 734-1
127.4194195,36.34905557,대전광역시 대덕구 오정동 735
127.4182026,36.34631777,대전광역시 대덕구 오정동 753
127.4231065,36.40026403,대전광역시 대덕구 와동 39-16
127.4233574,36.40035262,대전광역시 대덕구 와동 375
127.4255734,36.38356585,대전광역시 대덕구 읍내동 109-4
127.4240228,36.38047413,대전광역시 대덕구 읍내동 168-10
127.4208492,36.37707264,대전광역시 대덕구 읍내동 227-6
127.421527,36.37451161,대전광역시 대덕구 읍내동 317
127.4179104,36.37480371,대전광역시 대덕구 읍내동 482-1
127.4179415,36.37455001,대전광역시 대덕구 읍내동 482-19
127.4203047,36.3707367,대전광역시 대덕구 읍내동 550
127.4248967,36.3807555,대전광역시 대덕구 읍내동 91-7
127.4209541,36.37620064,대전광역시 대덕구 읍내동 579
127.4268661,36.3782041,대전광역시 대덕구 읍내동 71-1
127.4230884,36.39937118,대전광역시 대덕구 신대동 209-1
127.4230311,36.39709307,대전광역시 대덕구 신대동 366-1
127.4435058,36.35366307,대전광역시 대덕구 송촌동 367
127.4328146,36.36846159,대전광역시 대덕구 법동 213
127.4411898,36.36454501,대전광역시 대덕구 송촌동 523
127.4310876,36.36904789,대전광역시 대덕구 법동 191-1
127.4264833,36.37217356,대전광역시 대덕구 법동 370
127.4268323,36.36982123,대전광역시 대덕구 법동 371
127.4288569,36.370973,대전광역시 대덕구 법동 372
127.4264277,36.36673577,대전광역시 대덕구 법동 374
127.4533715,36.3569466,대전광역시 대덕구 비래동 146-2
127.4462356,36.35792285,대전광역시 대덕구 비래동 520
127.4484172,36.35424623,대전광역시 대덕구 비래동 540
127.4263118,36.36103562,대전광역시 대덕구 중리동 165-20
127.4299867,36.36146335,대전광역시 대덕구 중리동 174-1
127.4309091,36.36117409,대전광역시 대덕구 중리동 181-1
127.4285551,36.36084612,대전광역시 대덕구 중리동 197-10
127.4270256,36.36067521,대전광역시 대덕구 중리동 207-5
127.4214653,36.36181564,대전광역시 대덕구 중리동 275-29
127.4224099,36.36436636,대전광역시 대덕구 중리동 412
127.4252197,36.36239983,대전광역시 대덕구 중리동 418
127.4250697,36.35878822,대전광역시 대덕구 중리동 424
127.4209017,36.35890305,대전광역시 대덕구 중리동 448
127.4310601,36.36321821,대전광역시 대덕구 중리동 450
127.4283738,36.35910342,대전광역시 대덕구 중리동 469
127.4257659,36.43664578,대전광역시 대덕구 평촌동 544
127.4304283,36.45171615,대전광역시 대덕구 대청로 17
127.4235489,36.44553991,대전광역시 대덕구 덕암동 336
127.4246023,36.44123687,대전광역시 대덕구 덕암동45-10
127.4163137,36.44480789,대전광역시 대덕구 목상동 234
127.4131945,36.44827215,대전광역시 대덕구 목상동 185-1
127.4108166,36.44860118,대전광역시 대덕구 목상동 91-4
127.4008688,36.44239877,대전광역시 대덕구 문평동 92
127.4217838,36.42999169,대전광역시 대덕구 상서동 279-1
127.4222912,36.43022876,대전광역시 대덕구 상서동 282
127.4261882,36.45057177,대전광역시 대덕구 석봉동 747
127.424375,36.45053429,대전광역시 대덕구 석봉동 422-7
127.429471,36.44923428,대전광역시 대덕구 신탄진동 143-18
127.4362877,36.45263509,대전광역시 대덕구 신탄진동 22-1
127.4290882,36.44980177,대전광역시 대덕구 신탄진동 733
127.4351812,36.45065531,대전광역시 대덕구 신탄진동 735
127.422343,36.32557815,대전광역시 중구 대흥동 469-5 
127.4231822,36.32736438,대전광역시 중구 대흥동 494-2 
127.4241793,36.31992057,대전광역시 중구 대흥동 330-26
127.4202418,36.32322032,대전광역시 중구 대흥동 520-2
127.422405,36.32260599,대전광역시 중구 대흥동 516-2
127.4264187,36.32831901,대전광역시 중구 은행동 142-3 
127.4268663,36.32877867,대전광역시 중구 은행동 142-8  
127.4272869,36.32892146,대전광역시 중구 은행동 48-1 
127.4283049,36.32933185,대전광역시 중구 은행동 45-13
